thre,MCC(cl),Error(cl),Accur(cl),MCC(reg.),Error(reg),Accur(reg)
5.0,0.8367892477054247,0.08182098765432097,0.9181790123456791,0.8210683759312154,0.0902469135802469,0.9097530864197529
5.5,0.7731873688685932,0.11197530864197529,0.8880246913580246,0.7367252838102724,0.1316358024691358,0.8683641975308642
6.0,0.6700628459116833,0.14589506172839503,0.854104938271605,0.5796201624546543,0.17790123456790125,0.8220987654320987
6.5,0.5218919357798275,0.13580246913580252,0.8641975308641974,0.4810738071996083,0.14364197530864195,0.8563580246913581
7.0,0.5634398830228611,0.07728395061728395,0.9227160493827162,0.4172090401680537,0.0948456790123457,0.9051543209876544
