smiles,chembl_id,potency,pec50,category
CCN(C(COCC(=O)NC)c1ccccc1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL385546,40000,4.39794000867204,inactive
CCN(Cc1cscn1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL386174,200,6.69897000433602,active
CCN(C(COc1ccc(cc1)C(=O)O)c2ccccc2)c3ccc(cc3Cl)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL386260,1100,5.95860731484177,inactive
CCN(CCc1ccccc1)c2ccc(cc2Cl)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL386530,90,7.04575749056068,active
Cc1oc(nc1CN(CC(F)(F)F)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F)c3cccc(Cl)c3,CHEMBL386603,300,6.52287874528034,active
OC(=O)Cc1ccc(COc2cccc(c2)c3c(cnc4c(cccc34)C(F)(F)F)C(=O)c5ccccc5)cc1,CHEMBL386772,143,6.84466396253494,active
Cc1cccc2c(c3cccc(NCc4ccc(CC(=O)O)cc4)c3)c(cnc12)C(=O)c5ccccc5,CHEMBL387484,61,7.21467016498923,active
OC(=O)Cc1ccc(CNc2cccc(c2)c3c(cnc4c(cccc34)C(F)(F)F)C#N)cc1,CHEMBL387653,450,6.34678748622466,active
COc1cccc(C2SC(=NN2C(=O)c3c(F)cc(F)cc3F)c4ccc(Cl)cc4)c1OC,CHEMBL387997,174,6.80541695781774,active
OC(CC(F)(F)F)(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c2ccccc2)C(F)(F)F,CHEMBL388024,3981.07,5.40000018605658,inactive
CC(C)C1N(Cc2cn(nc12)c3ccc(CO)c(c3)S(=O)(=O)C)c4ncc(CO)c(n4)C(F)(F)F,CHEMBL3889601,390,6.42941469681295,active
CC(C)(O)c1cn(c2ccc(cc2)c3cccc(c3)S(=O)(=O)C)c(n1)C(C)(C)c4c(Cl)cccc4Cl,CHEMBL3890276,189.333333333333,6.97816499230054,active
COc1cccc(C2SC(=NN2C(=O)c3c(F)cc(F)cc3F)c4ccc(Cl)c(Cl)c4)c1OC,CHEMBL389563,10000,5,inactive
Fc1cc(F)c(C(=O)N2N=C(SC2c3ccccc3OC(F)(F)F)c4ccc(Cl)cc4)c(F)c1,CHEMBL389564,3400,5.46852108295774,inactive
Cc1cnc2c(cccc2c1c3cccc(NCc4ccc(CC(=O)O)cc4)c3)C(F)(F)F,CHEMBL389859,100,7,active
OCc1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c2ccccc2,CHEMBL389979,31622.78,4.4999999533289,inactive
COc1ncnc(N2Cc3cn(nc3[C@H]2C(C)C)c4cccc(c4)S(=O)(=O)C)c1F,CHEMBL3905741,17,7.76955107862173,active
CC(C)(O)c1cn(c2ccc(cc2Cl)c3cc(F)c(CO)c(c3)S(=O)(=O)C)c(n1)C(C)(C)c4c(Cl)cccc4Cl,CHEMBL3910597,11.3333333333333,8.189545411947,active
CC(C)(O)c1cn(c2ccc(cc2)c3ccc(CO)c(c3)S(=O)(=O)C)c(n1)C(C)(C)c4ccccc4Cl,CHEMBL3913162,160.666666666667,7.07108285928482,active
COc1cc(ccn1)N2Cc3cn(nc3[C@H]2C(C)C)c4cccc(c4)S(=O)(=O)C,CHEMBL3913348,45,7.34678748622466,active
CC(C)(C)OC(=O)n1c(cc2ccccc12)c3ccc(CCNC(=O)c4ccccc4)cc3,CHEMBL391417,1750,5.75696195131371,inactive
COc1cc(nc(C)n1)N2Cc3cn(nc3[C@H]2C(C)C)c4cccc(c4)S(=O)(=O)C,CHEMBL3914727,18,7.74472749489669,active
