,Case,threshold,Split,Accuracy,Sensitiv.,Specif.,MCC
0,1.0,5.0,0.0,0.9675925925925926,0.8125,0.9945652173913043,0.8669214468630108
1,1.0,5.0,1.0,0.9212962962962963,0.3333333333333333,0.9468599033816425,0.22741775761782826
2,1.0,5.0,2.0,0.7777777777777778,0.8928571428571429,0.6538461538461539,0.5656697125166719
3,1.0,5.0,3.0,0.8611111111111112,0.9807692307692307,0.55,0.6379052256590134
4,1.0,5.0,4.0,0.7361111111111112,0.8972602739726028,0.4,0.3484215771445816
5,1.0,5.5,0.0,0.9675925925925926,0.8076923076923077,0.9894736842105263,0.8409490123046068
6,1.0,5.5,1.0,0.9212962962962963,0.0,0.9521531100478469,-0.04032201870627129
7,1.0,5.5,2.0,0.7453703703703703,0.8636363636363636,0.6640625,0.5212824838841018
8,1.0,5.5,3.0,0.5462962962962963,0.9206349206349206,0.39215686274509803,0.30997464719603324
9,1.0,5.5,4.0,0.6157407407407407,0.8018018018018018,0.41904761904761906,0.23962647896434444
10,1.0,6.0,0.0,0.9537037037037037,0.9230769230769231,0.9556650246305419,0.7054302849114396
11,1.0,6.0,1.0,0.9537037037037037,,0.9537037037037037,
12,1.0,6.0,2.0,0.6018518518518519,1.0,0.5865384615384616,0.22342373853161518
13,1.0,6.0,3.0,0.5648148148148148,0.75,0.553921568627451,0.13961697822442393
14,1.0,6.0,4.0,0.5462962962962963,0.625,0.5238095238095238,0.12375327795836297
15,1.0,6.5,0.0,0.9305555555555556,,0.9305555555555556,
16,1.0,6.5,1.0,0.9629629629629629,,0.9629629629629629,
17,1.0,6.5,2.0,0.7546296296296297,,0.7546296296296297,
18,1.0,6.5,3.0,0.7453703703703703,1.0,0.7380952380952381,0.26944300253657555
19,1.0,6.5,4.0,0.6712962962962963,1.0,0.6536585365853659,0.29611805289319393
20,1.0,7.0,0.0,0.9537037037037037,,0.9537037037037037,
21,1.0,7.0,1.0,0.9814814814814815,,0.9814814814814815,
22,1.0,7.0,2.0,0.8842592592592593,,0.8842592592592593,
23,1.0,7.0,3.0,0.8379629629629629,0.8181818181818182,0.8390243902439024,0.36506959262007926
24,1.0,7.0,4.0,0.8194444444444444,1.0,0.8151658767772512,0.30435585421906197
25,2.2,5.0,0.0,0.9166666666666666,0.75,0.9456521739130435,0.6785797490463036
26,2.2,5.0,1.0,0.9490740740740741,0.9090909090909091,0.9512195121951219,0.6525073729536726
27,2.2,5.0,2.0,0.9166666666666666,0.9754098360655737,0.8404255319148937,0.8334643831273587
28,2.2,5.0,3.0,0.9537037037037037,1.0,0.8148148148148148,0.8760375907831331
29,2.2,5.0,4.0,0.8981481481481481,1.0,0.6811594202898551,0.7697322779893991
30,2.2,5.5,0.0,0.9305555555555556,0.7419354838709677,0.9621621621621622,0.7138097964935836
31,2.2,5.5,1.0,0.9768518518518519,0.8888888888888888,0.9806763285024155,0.7585826061362605
32,2.2,5.5,2.0,0.9120370370370371,0.9826086956521739,0.8316831683168316,0.8299822427039226
33,2.2,5.5,3.0,0.9537037037037037,1.0,0.8275862068965517,0.8822273647720917
34,2.2,5.5,4.0,0.8981481481481481,1.0,0.6986301369863014,0.7781256017217236
35,2.2,6.0,0.0,0.9675925925925926,0.9375,0.97,0.802222188399473
36,2.2,6.0,1.0,1.0,1.0,1.0,1.0
37,2.2,6.0,2.0,0.9907407407407407,,0.9907407407407407,
38,2.2,6.0,3.0,0.7638888888888888,0.8695652173913043,0.7512953367875648,0.41233606938196754
39,2.2,6.0,4.0,0.9027777777777778,0.9230769230769231,0.9,0.6707282839335909
40,2.2,6.5,0.0,0.9444444444444444,,0.9444444444444444,
41,2.2,6.5,1.0,1.0,1.0,1.0,1.0
42,2.2,6.5,2.0,1.0,1.0,1.0,1.0
43,2.2,6.5,3.0,0.9212962962962963,1.0,0.919047619047619,0.4896443125320982
44,2.2,6.5,4.0,0.9166666666666666,1.0,0.9130434782608695,0.5516772843673705
45,2.2,7.0,0.0,0.9814814814814815,,0.9814814814814815,
46,2.2,7.0,1.0,1.0,1.0,1.0,1.0
47,2.2,7.0,2.0,1.0,1.0,1.0,1.0
48,2.2,7.0,3.0,0.9953703703703703,1.0,0.9953488372093023,0.7054604302189111
49,2.2,7.0,4.0,0.9768518518518519,1.0,0.9761904761904762,0.7297037292405271
