,threshold,N_Split,Split,Accuracy,Sensitiv.,Specif.,MCC,Positive pred,Negative pred,False positive,False negative
0,5.0,5.0,0.0,0.9074074074074074,0.9107142857142857,0.9038461538461539,0.8145604395604396,0.9107142857142857,0.9038461538461539,0.09615384615384616,0.08928571428571429
1,5.0,5.0,1.0,0.9027777777777778,0.8859649122807017,0.9215686274509803,0.806320948194912,0.926605504587156,0.8785046728971962,0.0784313725490196,0.11403508771929824
2,5.0,5.0,2.0,0.8935185185185185,0.8773584905660378,0.9090909090909091,0.78715856687461,0.9029126213592233,0.8849557522123894,0.09090909090909091,0.12264150943396226
3,5.0,5.0,3.0,0.9398148148148148,0.9223300970873787,0.9557522123893806,0.8795571575226658,0.95,0.9310344827586207,0.04424778761061947,0.07766990291262135
4,5.0,5.0,4.0,0.9120370370370371,0.8736842105263158,0.9421487603305785,0.8213896256764845,0.9222222222222223,0.9047619047619048,0.05785123966942149,0.12631578947368421
5,5.5,5.0,0.0,0.8657407407407407,0.86,0.8706896551724138,0.7302176841972314,0.8514851485148515,0.8782608695652174,0.12931034482758622,0.14
6,5.5,5.0,1.0,0.8657407407407407,0.8421052631578947,0.8842975206611571,0.7272573942439363,0.851063829787234,0.8770491803278688,0.11570247933884298,0.15789473684210525
7,5.5,5.0,2.0,0.8287037037037037,0.7816091954022989,0.8604651162790697,0.6433078849832085,0.7906976744186046,0.8538461538461538,0.13953488372093023,0.21839080459770116
8,5.5,5.0,3.0,0.9212962962962963,0.8764044943820225,0.952755905511811,0.8371606518781931,0.9285714285714286,0.9166666666666666,0.047244094488188976,0.12359550561797752
9,5.5,5.0,4.0,0.8935185185185185,0.8414634146341463,0.9253731343283582,0.7726597695149962,0.8734177215189873,0.9051094890510949,0.07462686567164178,0.15853658536585366
10,6.0,5.0,0.0,0.7870370370370371,0.4166666666666667,0.9722222222222222,0.5033822257076337,0.8823529411764706,0.7692307692307693,0.027777777777777776,0.5833333333333334
11,6.0,5.0,1.0,0.8148148148148148,0.4927536231884058,0.9659863945578231,0.55607184069514,0.8717948717948718,0.8022598870056498,0.034013605442176874,0.5072463768115942
12,6.0,5.0,2.0,0.8240740740740741,0.5588235294117647,0.9459459459459459,0.5726312193757255,0.8260869565217391,0.8235294117647058,0.05405405405405406,0.4411764705882353
13,6.0,5.0,3.0,0.8009259259259259,0.390625,0.9736842105263158,0.4879351780588534,0.8620689655172413,0.7914438502673797,0.02631578947368421,0.609375
14,6.0,5.0,4.0,0.8148148148148148,0.4032258064516129,0.9805194805194806,0.516822389333761,0.8928571428571429,0.8031914893617021,0.01948051948051948,0.5967741935483871
15,6.5,5.0,0.0,0.8055555555555556,0.19607843137254902,0.9939393939393939,0.3670693565171617,0.9090909090909091,0.8,0.006060606060606061,0.803921568627451
16,6.5,5.0,1.0,0.8194444444444444,0.15217391304347827,1.0,0.3518207270850553,1.0,0.8133971291866029,0.0,0.8478260869565217
17,6.5,5.0,2.0,0.8101851851851852,0.2,0.9939759036144579,0.37214617256634114,0.9090909090909091,0.8048780487804879,0.006024096385542169,0.8
18,6.5,5.0,3.0,0.8703703703703703,0.25,0.9944444444444445,0.433544882392289,0.9,0.8689320388349514,0.005555555555555556,0.75
19,6.5,5.0,4.0,0.8564814814814815,0.2222222222222222,0.9833333333333333,0.3484523909175282,0.7272727272727273,0.8634146341463415,0.016666666666666666,0.7777777777777778
20,7.0,5.0,0.0,0.8842592592592593,0.1935483870967742,1.0,0.4129248266239223,1.0,0.8809523809523809,0.0,0.8064516129032258
21,7.0,5.0,1.0,0.8888888888888888,0.14814814814814814,0.9947089947089947,0.31418721913250275,0.8,0.8909952606635071,0.005291005291005291,0.8518518518518519
22,7.0,5.0,2.0,0.875,0.10344827586206896,0.9946524064171123,0.24808122854856554,0.75,0.8773584905660378,0.0053475935828877,0.896551724137931
23,7.0,5.0,3.0,0.9398148148148148,0.3333333333333333,0.9949494949494949,0.5123831638097073,0.8571428571428571,0.9425837320574163,0.005050505050505051,0.6666666666666666
24,7.0,5.0,4.0,0.9074074074074074,0.2,0.9795918367346939,0.27564680606792347,0.5,0.9230769230769231,0.02040816326530612,0.8
