,MCC(cl),MCC(reg.)
0,0.6336623134351381,0.5581699797719797
1,0.6132964173808857,0.5906839950704104
2,0.6952867596583229,0.654323529616037
3,0.662194115824178,0.5660847946367172
4,0.6478810068740127,0.6281441883825062
5,0.6543789106092321,0.5295659985607039
6,0.7057177342799607,0.6313582933925879
7,0.6355375263752946,0.6174591978387809
8,0.5254288476334403,0.5062585450671574
9,0.7103675373332079,0.6455524603467353
10,0.656163370637082,0.6044359461912512
11,0.6354147547404165,0.6232148143257172
12,0.7064252191274327,0.6460800727877505
13,0.6704382936835439,0.6036029885444775
14,0.6869312432950929,0.5668757740281365
15,0.6899093774289172,0.4520003272148288
16,0.7342818494359177,0.5495334359174802
17,0.7044499522954615,0.6217018942280494
18,0.6389979996700424,0.6166811364246999
19,0.6742599528680171,0.5436922337292744
20,0.7322920439183436,0.5278112460392195
21,0.6619123954516228,0.5930787203385667
22,0.7365264279598577,0.6242206495757758
23,0.6814904806293736,0.4846401358175164
24,0.6996055610505879,0.6704446032963527
25,0.6217784114092895,0.5728535736490132
26,0.7245957432614152,0.5666673383531974
27,0.6746081863005754,0.5532446164153109
28,0.6879430496550055,0.4767756004241788
29,0.6001098951288315,0.5634487836552144
30,0.8347506549969967,0.806102530176225
31,0.8936818831112742,0.8438373084769468
32,0.8668502568253269,0.8394950069605279
33,0.861292750575393,0.8801758014291888
34,0.7972284186577788,0.7747244478103947
35,0.8846916949674355,0.8827507736592203
36,0.8292863662374307,0.8338344479332822
37,0.8174922676133252,0.8386171406741567
38,0.8568414943186781,0.8392333699783322
39,0.8508093802277383,0.7956813859894994
40,0.8628523372253166,0.8524760896954506
41,0.8339421775602341,0.8364746623035988
42,0.8038497380976933,0.7611513625068911
43,0.8203202668275829,0.8532834163452796
44,0.8556256333957787,0.8114379621349812
45,0.8233020929896604,0.7873904928492325
46,0.8032835758692428,0.7801399497728854
47,0.8040953612538635,0.756144244271021
48,0.8251665195809054,0.8211187151760054
49,0.8088754778177594,0.8135202532016346
50,0.8803739457029689,0.8524200751707458
51,0.8518010291595196,0.8204919290653608
52,0.8427962479557569,0.8286138683626129
53,0.8055044958691804,0.8082428405643409
54,0.8708511413994765,0.8208105309704539
55,0.8315626068940285,0.8289195784471154
56,0.8193834024555786,0.8220974303252403
57,0.8540759969229506,0.8556864322637386
58,0.816709691184388,0.8052303848904672
59,0.7963805254694755,0.7819488465316335
60,0.8234492436677998,0.7531281659724021
61,0.8332493590960507,0.8061030001128117
62,0.8167723671190543,0.755891855839157
63,0.8142076955869321,0.7668395085939749
64,0.8041384775862068,0.7674440525045724
65,0.7967235834734215,0.7749492876597877
66,0.6862492435913895,0.6492084176603938
67,0.7895859104517211,0.7351061360793878
68,0.8111195210452349,0.7552507856319046
69,0.7745262029487765,0.7551840043059268
70,0.7646776136595841,0.727719876534233
71,0.7506437164806681,0.7274856758887085
72,0.737334749413902,0.7362833258428817
73,0.7737949072122589,0.7762288447755538
74,0.790555498827558,0.7226732897348405
75,0.8128050567554249,0.7632924120397271
76,0.7693820181710531,0.7445568922657989
77,0.6995684802921145,0.6405337528135909
